Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU
COMP,0.89705884,1.25,0.25,0.64705884,1.0,1,4,11,17,1
B,0.85294116,1.5,0.5,0.3529412,1.0,2,4,6,17,1
A,0.42647058,1.25,0.25,0.1764706,1.0,1,4,3,17,1
