File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST
"/home/paulobernardo/Pesquisa/vim/source/netbeans.c",-45.719505,-48.923588,1.4081633,1.7959183,2565,2561,5778,69,19,49,88
"/home/paulobernardo/Pesquisa/vim/source/gui_x11.c",-46.883236,-48.4522,1.2758621,0.29310346,2521,1053,1735,148,41,116,34
"/home/paulobernardo/Pesquisa/vim/source/if_lua.c",-48.191975,-50.819424,1.0392157,1.5882353,1977,1970,4529,53,9,51,81
"/home/paulobernardo/Pesquisa/vim/source/mbyte.c",-50.119816,-53.743004,1.7536232,1.8695652,5323,2073,8101,242,56,138,258
"/home/paulobernardo/Pesquisa/vim/source/if_cscope.c",-50.206223,-52.885468,1.1698114,1.509434,1851,1847,4525,62,16,53,80
"/home/paulobernardo/Pesquisa/vim/source/ops.c",-52.237667,-53.819366,1.248366,0.33333334,5680,1998,3395,191,29,153,51
"/home/paulobernardo/Pesquisa/vim/source/memline.c",-53.04496,-54.354313,1.1942446,0.11510792,4084,1597,2601,166,30,139,16
"/home/paulobernardo/Pesquisa/vim/source/search.c",-55.909386,-57.24583,1.0841122,0.25233644,4499,2407,3468,116,21,107,27
"/home/paulobernardo/Pesquisa/vim/source/gui_athena.c",-57.681026,-59.55059,1.1594203,0.71014494,1789,1544,3450,80,11,69,49
"/home/paulobernardo/Pesquisa/vim/source/findfile.c",-59.39533,-60.829063,1.0963856,0.33734939,1913,1402,2306,91,12,83,28
"/home/paulobernardo/Pesquisa/vim/source/ex_cmds.c",-62.160965,-63.520752,1.0846561,0.27513227,5686,1911,3233,205,45,189,52
"/home/paulobernardo/Pesquisa/vim/source/gui_beval.c",-62.86848,-70.69947,2.1126761,5.71831,945,941,6195,150,13,71,406
"/home/paulobernardo/Pesquisa/vim/source/if_python.c",-67.95921,-70.825874,1.5714285,1.2952381,1229,829,2021,165,36,105,136
"/home/paulobernardo/Pesquisa/vim/source/gui_motif.c",-68.188225,-70.14939,1.1650486,0.79611653,3126,2129,4867,120,21,103,82
"/home/paulobernardo/Pesquisa/vim/source/move.c",-69.331856,-70.48703,1.0229886,0.13218391,2197,890,1127,178,10,174,23
"/home/paulobernardo/Pesquisa/vim/source/message.c",-71.22628,-73.47628,1.304054,0.9459459,3815,1894,3529,193,35,148,140
"/home/paulobernardo/Pesquisa/vim/source/misc2.c",-71.413536,-73.5464,1.4195805,0.7132867,3459,1779,4930,203,75,143,102
"/home/paulobernardo/Pesquisa/vim/source/gui_at_fs.c",-71.803406,-73.87097,1.0405406,1.027027,2294,2290,2765,77,12,74,76
"/home/paulobernardo/Pesquisa/vim/source/tag.c",-75.73892,-76.855804,1.038961,0.077922076,3204,1599,2097,160,18,154,12
"/home/paulobernardo/Pesquisa/vim/source/normal.c",-88.1922,-89.64496,1.0984251,0.35433072,7109,2509,4340,279,52,254,90
"/home/paulobernardo/Pesquisa/vim/source/terminal.c",-89.91572,-92.92647,1.344086,1.6666666,5059,5055,12891,125,26,93,155
"/home/paulobernardo/Pesquisa/vim/source/if_ruby.c",-91.55429,-95.00001,1.6171429,1.8285714,1645,893,2639,283,38,175,320
"/home/paulobernardo/Pesquisa/vim/source/os_mswin.c",-91.71701,-94.06015,1.4411764,0.9019608,2261,2085,5758,147,44,102,92
"/home/paulobernardo/Pesquisa/vim/source/menu.c",-94.09343,-97.817924,1.5816326,2.142857,2153,2149,6516,155,21,98,210
"/home/paulobernardo/Pesquisa/vim/source/misc1.c",-96.36005,-98.05095,1.2,0.4909091,3199,1901,4694,198,47,165,81
"/home/paulobernardo/Pesquisa/vim/source/edit.c",-98.927055,-100.08871,1.0413533,0.120300755,4712,1773,2120,277,42,266,32
"/home/paulobernardo/Pesquisa/vim/source/eval.c",-99.22519,-101.94088,1.2745098,1.4411764,8627,8622,20302,130,33,102,147
"/home/paulobernardo/Pesquisa/vim/source/buffer.c",-100.96432,-102.26339,1.1401869,0.1588785,4518,2159,4711,244,55,214,34
"/home/paulobernardo/Pesquisa/vim/source/ex_cmds2.c",-106.618034,-109.71215,1.6,1.4941176,3474,2242,7154,272,37,170,254
"/home/paulobernardo/Pesquisa/vim/source/channel.c",-107.66139,-110.91365,1.3333334,1.918919,5142,5138,12798,148,25,111,213
"/home/paulobernardo/Pesquisa/vim/source/version.c",-115.74883,-117.51806,1.0769231,0.6923077,2936,983,1868,378,168,351,243
"/home/paulobernardo/Pesquisa/vim/source/ex_getln.c",-120.426674,-121.96513,1.1948718,0.34358975,5679,3552,6648,233,46,195,67
"/home/paulobernardo/Pesquisa/vim/source/gui_gtk.c",-122.98684,-124.73684,1.1217948,0.6282051,1976,1580,3670,175,22,156,98
"/home/paulobernardo/Pesquisa/vim/source/fileio.c",-124.48679,-126.019264,1.1720779,0.36038962,5812,2378,3880,361,65,308,111
"/home/paulobernardo/Pesquisa/vim/source/if_mzsch.c",-134.81384,-140.7642,1.9787234,3.9716313,2990,2985,9218,279,31,141,560
"/home/paulobernardo/Pesquisa/vim/source/gui_gtk_x11.c",-135.37993,-136.83612,1.1678832,0.28832117,5016,2505,4054,320,50,274,79
"/home/paulobernardo/Pesquisa/vim/source/gui.c",-144.47699,-146.23062,1.2971015,0.45652175,4024,2132,3685,358,73,276,126
"/home/paulobernardo/Pesquisa/vim/source/ex_docmd.c",-148.67662,-150.1867,1.2564842,0.2536023,8484,3672,5017,436,79,347,88
"/home/paulobernardo/Pesquisa/vim/source/gui_w32.c",-159.0706,-160.67137,1.1787072,0.42205322,6320,3861,7238,310,92,263,111
"/home/paulobernardo/Pesquisa/vim/source/os_win32.c",-168.51819,-170.5591,1.2818182,0.7590909,5491,4257,9489,282,47,220,167
"/home/paulobernardo/Pesquisa/vim/source/ui.c",-168.7662,-171.50363,1.4301676,1.3072625,2746,2631,7829,256,57,179,234
"/home/paulobernardo/Pesquisa/vim/source/syntax.c",-217.27592,-219.65614,1.3726236,1.0076046,7791,6507,14770,361,39,263,265
"/home/paulobernardo/Pesquisa/vim/source/screen.c",-243.59074,-244.9813,1.0987124,0.2918455,8615,4529,6144,512,47,466,136
"/home/paulobernardo/Pesquisa/vim/source/main.c",-278.82034,-281.23135,1.2038835,1.2071197,3138,2856,5977,372,89,309,373
"/home/paulobernardo/Pesquisa/vim/source/term.c",-295.29105,-298.1167,1.3307692,1.4948717,5416,4140,12049,519,64,390,583
"/home/paulobernardo/Pesquisa/vim/source/evalfunc.c",-482.36157,-484.79456,1.1216495,1.3113402,11804,11799,28305,544,172,485,636
"/home/paulobernardo/Pesquisa/vim/source/os_unix.c",-484.07452,-486.40662,1.2238532,1.1082569,6018,5371,12290,667,172,545,604
"/home/paulobernardo/Pesquisa/vim/source/option.c",-561.15137,-562.5496,1.1634051,0.23483366,11251,6193,9729,1189,115,1022,240
