FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG
main.c,1038,"void main_loop(int cmdwin, int noexmode)",13.626497,12.496062,1.0434783,0.08695652,254,138,170,23,24,15,2,0
if_mzsch.c,1025,static int startup_mzscheme(void),12.750759,11.393617,1.0,0.35714287,188,153,206,14,14,7,5,4
memline.c,4587,"static char_u * findswapname(buf_T * buf, char_u * * dirp, char_u * old_fname)",12.736881,11.486881,1.05,0.2,343,197,265,20,21,11,4,3
option.c,11346,"void copy_winopt(winopt_T * from, winopt_T * to)",12.525973,11.454545,1.0,0.071428575,77,63,67,14,14,12,1,0
ex_docmd.c,3346,"char_u * set_one_cmd_context(expand_T * xp, char_u * buff)",12.510367,10.860367,1.05,0.6,709,385,536,20,21,14,12,2
os_unix.c,5956,"static int WaitForCharOrMouse(long msec, int * interrupted, int ignore_input)",12.358696,10.608696,1.1666666,0.5833333,69,61,142,12,14,3,7,2
misc1.c,1768,"void expand_env_esc(char_u * srcp, char_u * dst, int dstlen, int esc, int one, char_u * startstr)",12.218616,10.051949,1.5,0.6666667,231,129,348,18,27,9,12,4
ui.c,2122,void fill_input_buf(int exit_on_error UNUSED),12.12963,9.62963,1.4,1.1,108,104,359,10,14,7,11,3
terminal.c,3467,static void init_default_colors(term_T * term),11.939733,9.296875,1.6428572,1.0,128,85,232,14,23,7,14,3
syntax.c,8367,void set_normal_colors(void),11.772388,7.522388,1.75,2.5,67,63,167,8,14,6,20,0
message.c,3071,void mch_msg(char * str),11.693694,8.027027,2.0,1.6666666,37,33,151,9,18,7,15,5
ex_getln.c,5041,"static int ExpandFromContext(expand_T * xp, char_u * pat, int * num_file, char_u * * * file, int options)",11.691667,9.825,1.0666667,0.8,200,131,176,15,16,11,12,2
os_win32.c,1805,"int mch_inchar(char_u * buf UNUSED, int maxlen UNUSED, long time UNUSED, int tb_change_cnt UNUSED)",11.662841,9.562841,1.2,0.9,183,175,399,10,12,5,9,2
os_unix.c,944,static RETSIGTYPE deathtrap SIGDEFARG(sigarg),11.608204,10.137615,1.0,0.47058824,109,65,91,17,17,11,8,1
os_unix.c,3602,void mch_setmouse(int on),11.194273,9.963504,1.0769231,0.15384616,137,105,117,13,14,10,2,1
term.c,2171,void del_mouse_termcode(int n),11.088146,5.6595745,2.857143,2.5714285,47,38,166,7,20,8,18,0
os_unix.c,4145,"static void set_child_environment(long rows, long columns, char * term, int is_terminal UNUSED)",11.058969,9.513514,1.0,0.54545456,74,64,95,11,11,4,6,2
term.c,2118,"void set_mouse_termcode(int n, char_u * s)",10.970238,5.541667,2.857143,2.5714285,48,38,166,7,20,8,18,0
os_unix.c,7308,"int mch_libcall(char_u * libname, char_u * funcname, char_u * argstring, int argint, char_u * * string_result, int * number_result)",10.96435,9.787879,1.0,0.1764706,132,76,97,17,17,4,3,5
syntax.c,8585,"static void hl_do_font(int idx, char_u * arg, int do_normal, int do_menu UNUSED, int do_tooltip UNUSED, int free_font)",10.884848,8.066667,1.3636364,1.4545455,75,55,155,11,15,7,16,2
ex_cmds.c,1523,"void do_shell(char_u * cmd, int flags)",10.868292,9.268292,1.2,0.4,123,76,128,15,18,6,6,3
gui.c,383,int gui_init_check(void),10.266667,8.333334,1.3333334,0.6,81,45,91,15,20,11,9,7
os_unix.c,3429,void mch_settmode(int tmode),10.239437,8.239436,1.1111112,0.8888889,71,65,97,9,10,6,8,5
gui.c,1448,int gui_get_base_height(void),10.019048,6.6857142,1.5555556,1.7777778,35,26,73,9,14,7,16,2
ex_cmds.c,1937,"void write_viminfo(char_u * file, int forceit)",9.794118,8.5,1.117647,0.1764706,196,98,135,17,19,5,3,4
os_amiga.c,1437,"int mch_expandpath(garray_T * gap, char_u * pat, int flags)",9.52104,8.39604,1.0,0.125,101,53,62,16,16,3,2,5
ex_docmd.c,7868,static void ex_winpos(exarg_T * eap),9.14693,4.7719297,2.625,1.75,57,34,100,8,21,4,14,3
os_unix.c,3219,void mch_free_mem(void),9.075,7.2,1.375,0.5,40,36,77,8,11,7,4,1
normal.c,4677,static void nv_zet(cmdarg_T * cap),8.90645,7.7526045,1.0,0.15384616,384,229,246,13,13,6,2,0
option.c,11437,static void check_winopt(winopt_T * wop UNUSED),8.894895,7.783784,1.0,0.11111111,37,32,36,9,9,9,1,0
option.c,11478,void clear_winopt(winopt_T * wop UNUSED),8.894895,7.783784,1.0,0.11111111,37,32,36,9,9,9,1,0
ex_docmd.c,6763,void ex_splitview(exarg_T * eap),8.69697,7.3333335,1.1818181,0.18181819,102,68,81,11,13,4,2,0
misc1.c,2059,"char_u * vim_getenv(char_u * name, int * mustfree)",8.599891,7.5089817,1.0,0.09090909,167,114,135,11,11,4,1,2
os_unix.c,2903,vim_acl_T mch_get_acl(char_u * fname UNUSED),8.585714,6.2999997,1.0,1.2857143,60,54,175,7,7,4,9,3
ui.c,639,"int ui_get_winpos(int * x, int * y, varnumber_T timeout)",8.42353,3.8235295,3.0,1.6,17,13,58,5,15,5,8,8
